"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"157","Amari Rodgers (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"158","Nico Collins (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"159","Shi Smith (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"160","Tutu Atwell (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"161","Anthony Schwartz (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"162","Reggie Roberson Jr. (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Dazz Newsome (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"164","Kadarius Toney (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.9%"
"165","Seth Williams (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"166","Kalija Lipscomb (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Ihmir Smith-Marsette (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"168","Elijah Moore (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.1%"
"169","Dyami Brown (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"170","Dez Fitzpatrick (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"171","Jester Weah (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Chris Olave (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.7%"
"173","Trey Quinn (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","T.J. Vasher (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"175","Malik Turner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","KhaDarel Hodge (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"177","Deontez Alexander (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Keke Coutee (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"179","Daurice Fountain (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"180","Deebo Samuel (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.9%"
"181","J.J. Arcega-Whiteside (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"182","Kelvin Harmon (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","N'Keal Harry (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"184","Austin Proehl (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Chad Beebe (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"186","Byron Pringle (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.3%"
"187","Vyncint Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Jeff Badet (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"189","Keith Kirkwood (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Rico Gafford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Jordan Veasy (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Trent Sherfield (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"193","D.J. Montgomery (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Jason Moore Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"195","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Auden Tate (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"198","Equanimeous St. Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"199","Devon Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Isaiah Hodgins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","James Proche II (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"203","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"204","John Hightower (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Aaron Fuller (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Donovan Peoples-Jones (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"207","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.1%"
"208","DeVonta Smith (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.7%"
"209","Jalen Reagor (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"210","Tee Higgins (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.9%"
"211","Allen Lazard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.5%"
"212","Javon Wims (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Gary Jennings Jr. (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","KeeSean Johnson (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Robert Foster (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Antoine Wesley (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"217","Lil'Jordan Humphrey (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"218","Greg Dortch (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","David Sills V (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Keelan Doss (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Davion Davis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Travis Fulgham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"224","Parris Campbell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.3%"
"225","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"226","Bryan Edwards (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.7%"
"227","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"229","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Jeff Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"231","Penny Hart (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"233","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Bisi Johnson (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"235","Quinton Bell (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"236","Juwann Winfree (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"237","Alec Pierce (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"238","Skyy Moore (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.4%"
"239","Kyle Philips (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"240","Slade Bolden (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"241","Christian Watson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.6%"
"242","Samori Toure (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
